user,item,gender,age,location,rating
21,246,1.0,0.0,1.0,1.0
31,274,1.0,2.0,1.0,1.0
173,74,0.0,3.0,1.0,1.0
31,210,1.0,2.0,1.0,1.0
114,270,1.0,0.0,2.0,1.0
232,8,0.0,1.0,1.0,1.0
117,284,1.0,0.0,1.0,1.0
79,250,1.0,1.0,1.0,1.0
199,141,0.0,1.0,1.0,1.0
82,197,1.0,0.0,1.0,1.0
283,99,0.0,0.0,1.0,1.0
150,121,0.0,1.0,0.0,1.0
8,243,1.0,2.0,1.0,1.0
75,255,1.0,0.0,1.0,1.0
106,118,1.0,0.0,1.0,1.0
65,244,1.0,4.0,0.0,1.0
285,143,0.0,0.0,1.0,1.0
22,247,1.0,3.0,1.0,1.0
225,141,0.0,0.0,1.0,1.0
64,254,1.0,0.0,0.0,1.0
49,280,1.0,1.0,0.0,1.0
249,35,0.0,0.0,1.0,1.0
46,251,1.0,3.0,0.0,1.0
151,198,0.0,0.0,1.0,1.0
240,50,0.0,0.0,1.0,1.0
131,144,0.0,0.0,1.0,1.0
109,103,1.0,5.0,1.0,1.0
227,88,0.0,2.0,0.0,1.0
167,40,0.0,1.0,2.0,1.0
264,120,0.0,3.0,2.0,1.0
205,11,0.0,2.0,0.0,1.0
68,252,1.0,1.0,0.0,1.0
247,121,0.0,1.0,1.0,1.0
268,46,0.0,2.0,1.0,1.0
219,79,0.0,1.0,2.0,1.0
103,259,1.0,1.0,1.0,1.0
63,47,1.0,0.0,0.0,1.0
58,88,1.0,2.0,1.0,1.0
12,167,1.0,1.0,1.0,1.0
25,264,1.0,0.0,1.0,1.0
44,268,1.0,3.0,0.0,1.0
207,143,0.0,1.0,2.0,1.0
208,9,0.0,1.0,1.0,1.0
148,80,0.0,0.0,1.0,1.0
56,268,1.0,3.0,1.0,1.0
6,175,1.0,0.0,1.0,1.0
284,236,0.0,0.0,1.0,1.0
206,45,0.0,1.0,1.0,1.0
186,134,0.0,2.0,1.0,1.0
168,123,0.0,0.0,0.0,1.0
147,99,0.0,2.0,0.0,1.0
13,101,1.0,2.0,2.0,1.0
118,276,1.0,0.0,1.0,1.0
85,155,1.0,0.0,2.0,1.0
15,230,1.0,0.0,1.0,1.0
44,226,1.0,3.0,0.0,1.0
273,32,0.0,1.0,2.0,1.0
98,174,1.0,3.0,1.0,1.0
46,101,1.0,3.0,0.0,1.0
88,152,1.0,1.0,1.0,1.0
230,111,0.0,0.0,1.0,1.0
188,74,0.0,0.0,1.0,1.0
217,3,0.0,0.0,2.0,1.0
53,176,1.0,3.0,1.0,1.0
110,228,1.0,0.0,1.0,1.0
289,115,0.0,2.0,1.0,1.0
178,115,0.0,1.0,2.0,1.0
2,248,1.0,0.0,1.0,1.0
8,275,1.0,2.0,1.0,1.0
243,143,0.0,1.0,1.0,1.0
164,103,0.0,3.0,0.0,1.0
21,155,1.0,0.0,1.0,1.0
56,297,1.0,3.0,1.0,1.0
44,130,1.0,3.0,0.0,1.0
85,125,1.0,0.0,2.0,1.0
151,102,0.0,0.0,1.0,1.0
125,232,1.0,0.0,2.0,1.0
41,249,1.0,0.0,1.0,1.0
172,141,0.0,0.0,1.0,1.0
284,123,0.0,0.0,1.0,1.0
14,219,1.0,2.0,1.0,1.0
7,166,1.0,2.0,2.0,1.0
269,95,0.0,0.0,2.0,1.0
